epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,577.624,0.98041,0.62464,1.01651,0.78728,0.63927,0.72347,0.43864,1.37762,0.94339,1.24481,0.00075656,0.00075656,0.00075656
159,581.226,1.00953,0.66566,1.02024,0.75227,0.65455,0.72475,0.44034,1.35372,0.96617,1.22468,0.00074864,0.00074864,0.00074864
160,584.799,0.98092,0.62518,1.00989,0.72985,0.67949,0.72262,0.433,1.35647,0.94754,1.24019,0.00074072,0.00074072,0.00074072
161,588.41,0.96457,0.64569,1.00375,0.8038,0.62121,0.73094,0.43495,1.3526,0.95373,1.23402,0.0007328,0.0007328,0.0007328
162,591.969,0.97083,0.62888,1.00864,0.75942,0.6409,0.71029,0.42948,1.37098,0.9621,1.24772,0.00072488,0.00072488,0.00072488
163,595.613,0.99494,0.65943,1.02274,0.74435,0.6697,0.70755,0.41337,1.42223,0.98576,1.329,0.00071696,0.00071696,0.00071696
164,599.322,1.02792,0.65446,1.0473,0.77915,0.66364,0.71941,0.43162,1.39754,0.94994,1.27921,0.00070904,0.00070904,0.00070904
165,602.888,0.95649,0.6296,0.99779,0.85186,0.61515,0.72303,0.4246,1.44198,0.96749,1.29846,0.00070112,0.00070112,0.00070112
166,606.494,0.95952,0.62485,1.00703,0.79039,0.60559,0.69198,0.42649,1.3615,1.02782,1.24799,0.0006932,0.0006932,0.0006932
167,610.074,0.97387,0.64665,1.01606,0.78442,0.65758,0.73261,0.44908,1.36413,0.95757,1.24404,0.00068528,0.00068528,0.00068528
168,613.677,0.94227,0.61638,0.99279,0.72948,0.64242,0.70193,0.42888,1.38992,1.00463,1.25757,0.00067736,0.00067736,0.00067736
169,617.272,0.94563,0.61399,0.99826,0.70726,0.62961,0.69057,0.41902,1.37554,1.03237,1.2594,0.00066944,0.00066944,0.00066944
170,620.841,0.95049,0.60325,0.99988,0.76313,0.59394,0.69134,0.4166,1.38411,1.00429,1.26152,0.00066152,0.00066152,0.00066152
171,624.5,0.97642,0.63495,1.00333,0.82607,0.60449,0.72089,0.43689,1.35584,0.97557,1.23296,0.0006536,0.0006536,0.0006536
172,628.093,0.96653,0.63179,1.00163,0.77868,0.63636,0.70286,0.4208,1.36562,0.98482,1.22957,0.00064568,0.00064568,0.00064568
173,631.893,0.92701,0.60653,0.98675,0.72587,0.64848,0.69146,0.4212,1.37018,1.01063,1.24585,0.00063776,0.00063776,0.00063776
174,635.461,0.98922,0.65352,1.00312,0.78349,0.64698,0.71199,0.4271,1.39339,0.95043,1.27921,0.00062984,0.00062984,0.00062984
175,639.018,0.94918,0.61659,0.99874,0.81427,0.63771,0.71733,0.43512,1.36203,0.91607,1.22846,0.00062192,0.00062192,0.00062192
176,642.57,0.95539,0.61575,1.00155,0.755,0.67273,0.72197,0.43268,1.35463,0.91994,1.23846,0.000614,0.000614,0.000614
177,646.205,0.94276,0.59446,0.98585,0.81471,0.6,0.70995,0.43282,1.35469,0.95697,1.2439,0.00060608,0.00060608,0.00060608
178,649.778,0.92429,0.58363,0.98458,0.8148,0.61515,0.71262,0.43269,1.38377,0.95158,1.27027,0.00059816,0.00059816,0.00059816
179,653.379,0.95312,0.61296,0.99492,0.78726,0.65758,0.73423,0.44448,1.36076,0.90629,1.24286,0.00059024,0.00059024,0.00059024
180,657.026,1.01176,0.62787,1.01914,0.78892,0.6303,0.73089,0.44633,1.3378,0.91396,1.23316,0.00058232,0.00058232,0.00058232
181,660.599,0.93845,0.59038,0.99164,0.78953,0.61818,0.7203,0.44683,1.35399,0.95017,1.2376,0.0005744,0.0005744,0.0005744
